field_id,farm_id,acreage,crop_type,soil_type,latitude,longitude
FIELD0001,FARM002,168.7,corn,silt,31.3253,-89.9675
FIELD0002,FARM028,364.1,potatoes,silt,30.7129,-98.0752
FIELD0003,FARM024,46.1,corn,sandy,30.7456,-84.8075
FIELD0004,FARM023,443.9,cotton,clay,44.9553,-86.4313
FIELD0005,FARM003,338.6,wheat,clay,38.3847,-86.8584
FIELD0006,FARM008,322.1,rice,silt,40.3492,-86.0383
FIELD0007,FARM013,189.9,rice,loam,44.0871,-82.3978
FIELD0008,FARM002,18.1,wheat,peat,43.3013,-92.2423
FIELD0009,FARM018,317.9,wheat,clay,42.6586,-86.3051
FIELD0010,FARM022,215.9,potatoes,sandy,30.653,-81.7106
FIELD0011,FARM011,266.2,wheat,sandy,43.6165,-82.0421
FIELD0012,FARM023,257.8,corn,silt,31.8701,-94.1004
FIELD0013,FARM018,239.2,rice,loam,41.6741,-94.4495
FIELD0014,FARM005,306.1,corn,loam,43.7674,-90.5269
FIELD0015,FARM030,245.1,rice,loam,31.739,-93.3646
FIELD0016,FARM022,352.4,wheat,silt,35.5465,-80.6932
FIELD0017,FARM018,57,cotton,loam,39.5999,-87.2543
FIELD0018,FARM006,310.5,cotton,peat,33.3163,-84.9555
FIELD0019,FARM006,313.8,potatoes,sandy,37.8458,-88.6208
FIELD0020,FARM001,28.4,cotton,peat,43.7153,-95.3901
FIELD0021,FARM003,463.3,soybeans,loam,37.2513,-80.1369
FIELD0022,FARM019,273.6,potatoes,loam,30.8711,-99.5563
FIELD0023,FARM012,315.4,potatoes,loam,33.8329,-83.2504
FIELD0024,FARM015,56.9,corn,loam,43.0544,-96.0677
FIELD0025,FARM024,331,potatoes,silt,44.1435,-84.2627
FIELD0026,FARM016,365.1,rice,loam,38.3179,-94.5553
FIELD0027,FARM023,426.3,soybeans,peat,44.36,-86.2699
FIELD0028,FARM022,122.4,soybeans,loam,31.5835,-84.0982
FIELD0029,FARM001,89.9,rice,silt,43.8567,-97.5984
FIELD0030,FARM027,320.1,wheat,peat,34.4918,-96.8455
FIELD0031,FARM002,26.8,corn,clay,42.5848,-97.7108
FIELD0032,FARM017,346.9,potatoes,sandy,38.6371,-85.1048
FIELD0033,FARM026,329,corn,loam,32.9965,-95.8598
FIELD0034,FARM026,455.2,cotton,peat,30.179,-87.2634
FIELD0035,FARM013,339,wheat,loam,34.4603,-93.6788
FIELD0036,FARM014,270.9,soybeans,sandy,41.6276,-98.5533
FIELD0037,FARM001,39,potatoes,peat,32.9903,-98.9035
FIELD0038,FARM007,220.1,wheat,peat,42.8993,-87.1269
FIELD0039,FARM018,169.3,potatoes,clay,40.0082,-83.3597
FIELD0040,FARM021,494.7,wheat,clay,43.87,-87.7705
FIELD0041,FARM029,330.8,potatoes,peat,33.2833,-86.5459
FIELD0042,FARM008,112.3,corn,sandy,32.9204,-80.0075
FIELD0043,FARM014,254,corn,silt,34.149,-81.6008
FIELD0044,FARM026,76.2,soybeans,sandy,36.2064,-93.8504
FIELD0045,FARM009,209.9,cotton,sandy,43.3807,-93.1746
FIELD0046,FARM020,123,cotton,sandy,30.5505,-87.17
FIELD0047,FARM029,174.9,rice,clay,37.0023,-90.9266
FIELD0048,FARM009,422.4,soybeans,silt,43.1576,-96.9969
FIELD0049,FARM025,327.4,corn,sandy,40.8332,-83.2148
FIELD0050,FARM001,259.3,rice,peat,32.9842,-97.9532
FIELD0051,FARM025,141.8,soybeans,clay,36.5546,-91.0425
FIELD0052,FARM001,169,potatoes,clay,31.0141,-95.9092
FIELD0053,FARM020,289.6,wheat,sandy,44.222,-84.6393
FIELD0054,FARM015,174.2,rice,sandy,39.0695,-98.3318
FIELD0055,FARM007,471.5,corn,sandy,38.2894,-87.2746
FIELD0056,FARM027,303.1,soybeans,loam,43.079,-93.6277
FIELD0057,FARM003,378.9,wheat,silt,36.6195,-88.1024
FIELD0058,FARM002,434.7,wheat,silt,42.532,-94.4458
FIELD0059,FARM006,134.3,cotton,clay,41.0763,-96.6152
FIELD0060,FARM003,290.9,wheat,peat,42.2736,-81.8943
FIELD0061,FARM009,284.2,soybeans,peat,33.892,-94.3987
FIELD0062,FARM008,377.9,corn,loam,37.3124,-92.0721
FIELD0063,FARM026,419.2,rice,loam,38.1154,-88.3571
FIELD0064,FARM026,201.1,cotton,clay,36.2,-83.2711
FIELD0065,FARM027,492.6,potatoes,sandy,30.187,-91.6171
FIELD0066,FARM021,425.6,soybeans,loam,43.1459,-99.3846
FIELD0067,FARM004,217.5,corn,silt,42.3761,-94.6968
FIELD0068,FARM016,28.5,rice,peat,30.1112,-83.3858
FIELD0069,FARM020,40.4,corn,peat,35.966,-81.1156
FIELD0070,FARM025,459.7,potatoes,silt,35.4463,-85.5051
FIELD0071,FARM004,325.7,soybeans,loam,38.5157,-83.3888
FIELD0072,FARM018,371,rice,sandy,44.9283,-90.7783
FIELD0073,FARM029,293.6,potatoes,silt,34.4878,-86.9799
FIELD0074,FARM007,337.5,potatoes,sandy,36.2426,-83.0813
FIELD0075,FARM020,171.7,corn,loam,33.2582,-85.9037
FIELD0076,FARM017,369.9,rice,silt,34.9819,-87.051
FIELD0077,FARM019,246.9,cotton,peat,36.7281,-90.8929
FIELD0078,FARM024,326.6,corn,peat,38.8647,-96.4851
FIELD0079,FARM001,77.9,cotton,silt,31.7705,-86.2747
FIELD0080,FARM005,232.1,potatoes,peat,30.609,-82.5765
FIELD0081,FARM028,464.4,rice,sandy,41.8069,-95.3252
FIELD0082,FARM008,490.9,cotton,peat,44.1065,-83.7626
FIELD0083,FARM011,276.7,wheat,clay,44.0578,-91.6809
FIELD0084,FARM024,188.5,cotton,loam,42.7908,-88.0274
FIELD0085,FARM007,103.4,wheat,sandy,30.8012,-83.7855
FIELD0086,FARM009,313.3,potatoes,loam,41.0402,-93.1707
FIELD0087,FARM002,403.1,corn,sandy,41.3498,-93.3538
