log_id,field_id,start_time,duration_minutes,water_used_liters,method,trigger_type
IRR000001,FIELD0093,2025-07-11T00:23:42.638Z,412,42565,sprinkler,manual
IRR000002,FIELD0144,2025-09-06T03:38:35.376Z,83,38939,drip,scheduled
IRR000003,FIELD0014,2025-10-15T14:21:32.175Z,352,9066,sprinkler,manual
IRR000004,FIELD0073,2025-07-09T04:24:44.612Z,276,25948,flood,manual
IRR000005,FIELD0049,2026-02-11T21:44:36.846Z,305,19312,drip,manual
IRR000006,FIELD0106,2025-11-26T05:04:14.177Z,282,26390,sprinkler,manual
IRR000007,FIELD0063,2025-04-03T19:18:45.176Z,38,39493,flood,scheduled
IRR000008,FIELD0023,2026-01-04T15:41:12.546Z,71,23375,drip,manual
IRR000009,FIELD0169,2025-06-23T22:33:22.449Z,58,44881,flood,manual
IRR000010,FIELD0045,2025-06-25T05:52:19.402Z,345,31571,center_pivot,manual
IRR000011,FIELD0037,2025-04-28T12:51:54.843Z,337,15891,flood,manual
IRR000012,FIELD0018,2025-05-27T20:05:09.036Z,133,22453,drip,scheduled
IRR000013,FIELD0181,2025-04-14T03:57:21.561Z,117,25426,center_pivot,scheduled
IRR000014,FIELD0102,2025-07-16T23:36:57.854Z,290,4625,drip,scheduled
IRR000015,FIELD0155,2025-04-28T14:07:37.312Z,352,25928,sprinkler,scheduled
IRR000016,FIELD0101,2025-12-31T06:46:59.302Z,300,18686,sprinkler,scheduled
IRR000017,FIELD0080,2025-12-31T13:39:52.896Z,39,8640,flood,scheduled
IRR000018,FIELD0023,2025-09-01T12:18:24.378Z,233,9464,drip,manual
IRR000019,FIELD0009,2025-04-10T11:23:40.924Z,215,11535,flood,manual
IRR000020,FIELD0014,2026-01-26T19:57:45.596Z,326,10163,drip,scheduled
IRR000021,FIELD0060,2025-10-26T04:03:21.222Z,400,15491,center_pivot,scheduled
IRR000022,FIELD0027,2025-09-11T06:26:28.725Z,368,7994,drip,scheduled
IRR000023,FIELD0197,2025-06-24T05:41:43.138Z,268,25023,sprinkler,manual
IRR000024,FIELD0129,2025-11-02T20:32:24.888Z,380,32345,flood,manual
IRR000025,FIELD0004,2025-04-25T15:22:02.928Z,419,33909,drip,scheduled
IRR000026,FIELD0045,2025-07-09T11:57:12.368Z,270,42123,flood,manual
IRR000027,FIELD0046,2025-08-18T05:27:15.645Z,61,4093,center_pivot,scheduled
IRR000028,FIELD0047,2025-11-06T23:50:11.875Z,471,36197,flood,scheduled
IRR000029,FIELD0106,2025-05-16T02:35:36.926Z,423,20292,center_pivot,scheduled
