image_id,field_id,capture_date,ndvi,evi,lai,cloud_cover_percent,resolution_m
SAT0000001,FIELD0013,2026-01-08,0.872,0.276,0.98,58,20
SAT0000002,FIELD0013,2025-07-29,0.361,0.192,0.21,56,30
SAT0000003,FIELD0104,2025-10-08,0.179,0.311,1.89,30,30
SAT0000004,FIELD0049,2026-02-11,0.153,0.147,3.52,17,10
SAT0000005,FIELD0123,2026-01-20,-0.054,0.743,2.85,68,20
SAT0000006,FIELD0050,2025-11-08,0.807,-0.077,4.13,44,30
SAT0000007,FIELD0131,2026-01-18,0.124,0.59,4.38,32,20
SAT0000008,FIELD0032,2025-08-05,0.256,-0.008,0.15,58,20
SAT0000009,FIELD0003,2025-07-12,0.439,0.64,2.9,9,30
SAT0000010,FIELD0064,2025-07-06,0.727,0.129,5.53,77,20
SAT0000011,FIELD0019,2025-04-12,0.63,0.618,0.17,74,30
SAT0000012,FIELD0042,2025-08-07,0.184,-0.008,3.97,80,10
SAT0000013,FIELD0056,2025-05-29,0.822,-0.098,1.26,49,10
SAT0000014,FIELD0083,2025-08-31,0.079,0.274,2.91,67,10
SAT0000015,FIELD0026,2025-09-07,0.088,0.361,0.08,89,30
SAT0000016,FIELD0194,2025-07-11,0.458,0.206,0.45,67,30
SAT0000017,FIELD0178,2026-02-01,0.375,0.681,3.04,16,20
SAT0000018,FIELD0042,2025-04-07,-0.037,0.062,2.15,83,10
SAT0000019,FIELD0058,2025-12-18,0.811,-0.074,1.47,12,20
SAT0000020,FIELD0024,2025-12-23,0.506,0.288,3.63,75,30
SAT0000021,FIELD0091,2025-03-27,0.521,0.101,0.62,29,20
SAT0000022,FIELD0136,2025-10-19,0.342,0.749,2.16,88,20
SAT0000023,FIELD0166,2025-11-11,0.73,0.486,2.97,82,20
SAT0000024,FIELD0015,2025-04-20,0.507,0.566,1.4,99,20
SAT0000025,FIELD0044,2025-03-20,0.71,0.081,0.52,9,10
SAT0000026,FIELD0196,2025-10-17,0.057,0.028,5.44,16,10
SAT0000027,FIELD0055,2025-05-30,0.468,0.54,3.02,80,30
SAT0000028,FIELD0175,2025-04-26,0.189,0.597,2.2,57,30
SAT0000029,FIELD0058,2025-08-05,0.069,0.757,3.66,36,10
SAT0000030,FIELD0034,2025-12-04,-0.003,0.532,3.1,45,10
SAT0000031,FIELD0195,2025-12-25,0.706,0.588,3.6,33,30
SAT0000032,FIELD0198,2025-10-09,0.052,0.371,2.92,64,10
SAT0000033,FIELD0190,2025-12-11,0.235,-0.08,4.44,94,20
SAT0000034,FIELD0089,2025-12-20,0.22,0.038,1.91,80,30
SAT0000035,FIELD0192,2025-08-28,0.529,0.602,1.79,24,10
SAT0000036,FIELD0102,2025-04-19,-0.048,-0.01,1.8,39,10
SAT0000037,FIELD0142,2025-03-06,0.834,0.181,4.14,17,20
SAT0000038,FIELD0186,2025-05-17,0.258,0.482,3.78,89,10
SAT0000039,FIELD0030,2025-04-28,0.314,0.518,1.73,60,30
SAT0000040,FIELD0111,2025-04-02,0.842,0.28,5.69,100,20
SAT0000041,FIELD0185,2025-07-03,0.69,0.668,3.12,26,30
SAT0000042,FIELD0169,2025-04-26,0.343,0.001,1.07,93,30
SAT0000043,FIELD0124,2025-07-29,0.184,0.67,1.65,46,20
SAT0000044,FIELD0076,2025-11-01,0.689,0.593,4.7,36,30
SAT0000045,FIELD0076,2025-12-05,0.228,0.729,3.94,19,20
SAT0000046,FIELD0024,2025-05-19,0.294,0.509,3.85,37,10
SAT0000047,FIELD0040,2025-11-13,0.873,0.039,4.38,75,10
SAT0000048,FIELD0021,2026-02-10,0.27,0.679,4.15,98,20
SAT0000049,FIELD0024,2025-05-27,0.15,0.6,3.62,60,30
SAT0000050,FIELD0018,2026-01-27,0.263,0.58,2.68,25,10
SAT0000051,FIELD0151,2025-10-09,0.628,0.395,1.51,39,30
SAT0000052,FIELD0188,2025-10-27,0.677,0.578,2.27,24,20
SAT0000053,FIELD0117,2025-03-21,0.71,0.436,1.08,58,10
SAT0000054,FIELD0154,2026-01-06,0.696,-0.05,2.86,87,10
SAT0000055,FIELD0092,2025-05-05,0.414,0.494,2.91,7,10
SAT0000056,FIELD0130,2025-04-09,0.612,0.015,4.19,13,30
SAT0000057,FIELD0064,2026-02-03,0.817,0.029,5.06,44,10
SAT0000058,FIELD0059,2025-09-23,0.895,-0.024,4.64,3,30
SAT0000059,FIELD0099,2025-03-23,0.218,0.023,5.41,29,30
SAT0000060,FIELD0046,2025-07-10,-0.077,0.571,4.91,10,30
SAT0000061,FIELD0051,2026-02-08,-0.021,-0.007,1.48,66,30
SAT0000062,FIELD0172,2025-03-25,0.389,0.089,0.62,78,20
SAT0000063,FIELD0130,2025-11-18,0.765,0.699,4.61,45,30
SAT0000064,FIELD0149,2026-01-11,0.258,0.236,1.07,30,30
SAT0000065,FIELD0031,2025-10-30,0.458,-0.079,2.46,48,30
SAT0000066,FIELD0191,2025-11-27,0.183,0.664,3.46,43,20
SAT0000067,FIELD0030,2025-11-01,0.777,0.027,2.23,13,20
SAT0000068,FIELD0117,2025-05-04,0.764,-0.081,2.79,70,10
SAT0000069,FIELD0079,2026-01-22,0.152,0.237,5.73,100,20
SAT0000070,FIELD0193,2025-09-11,0.75,0.654,5,62,30
SAT0000071,FIELD0176,2025-12-17,0.15,0.234,0.48,62,30
SAT0000072,FIELD0177,2025-08-22,0.501,0.157,2.22,90,10
SAT0000073,FIELD0093,2025-05-05,0.583,0.281,5.89,51,20
SAT0000074,FIELD0194,2025-04-09,-0.085,0.298,5.01,90,20
SAT0000075,FIELD0162,2025-08-03,0.714,0.258,4.66,22,30
SAT0000076,FIELD0142,2025-04-11,0.499,-0.086,3.94,65,20
SAT0000077,FIELD0144,2025-07-02,0.148,0.531,2.56,77,20
SAT0000078,FIELD0177,2025-11-22,0.611,0.197,3.52,76,10
SAT0000079,FIELD0130,2025-04-04,-0.089,0.686,0.11,35,20
SAT0000080,FIELD0153,2025-06-28,0.828,0.329,0.37,50,10
SAT0000081,FIELD0177,2025-08-21,0.728,0.208,5.58,69,20
SAT0000082,FIELD0190,2025-11-21,0.469,0.059,1.47,82,30
SAT0000083,FIELD0082,2025-10-27,0.787,0.672,0.97,42,10
SAT0000084,FIELD0121,2025-04-12,0.073,0.095,1.92,22,20
SAT0000085,FIELD0159,2025-04-04,0.483,0.471,4.6,63,10
SAT0000086,FIELD0065,2025-06-29,0.618,0.376,2.98,22,30
SAT0000087,FIELD0036,2025-10-10,-0.06,0.253,5.59,7,10
SAT0000088,FIELD0199,2025-05-28,0.363,0.591,2.63,71,20
SAT0000089,FIELD0063,2025-09-10,0.302,0.174,3.93,97,20
SAT0000090,FIELD0116,2025-11-26,0.515,0.658,5.09,5,20
SAT0000091,FIELD0032,2025-05-22,0.808,0.621,5.38,52,10
SAT0000092,FIELD0058,2025-11-06,0.501,0.547,3.31,27,20
SAT0000093,FIELD0105,2025-08-15,0.376,0.149,1.53,35,20
SAT0000094,FIELD0112,2025-10-09,0.043,0.054,4.54,61,20
SAT0000095,FIELD0068,2026-01-05,0.283,0.648,5.05,26,30
SAT0000096,FIELD0112,2025-07-08,0.6,0.098,3.89,65,20
SAT0000097,FIELD0158,2025-12-04,0.645,0.532,4.03,99,10
SAT0000098,FIELD0172,2025-12-29,0.544,0.545,2.39,49,30
SAT0000099,FIELD0047,2025-09-26,0.804,0.175,5.53,25,10
SAT0000100,FIELD0093,2026-01-11,0.419,0.348,2.82,48,30
