record_id,field_id,date,temp_max_c,temp_min_c,precipitation_mm,humidity_percent,wind_speed_kmh,solar_radiation_wm2
WH0000001,FIELD0045,2025-05-25,33.3,21.2,17.3,82,14.6,621
WH0000002,FIELD0097,2025-10-12,36.3,23.3,18.8,74,35.6,151
WH0000003,FIELD0124,2025-12-31,23.2,12.3,45.9,86,26.4,65
WH0000004,FIELD0016,2025-01-07,38.9,-1.7,12.5,84,38.7,591
WH0000005,FIELD0029,2025-09-12,38.1,-3.6,3.9,32,12.5,534
WH0000006,FIELD0009,2025-12-28,15.3,9.1,19.4,89,37.8,380
WH0000007,FIELD0026,2025-08-10,10.9,3.6,32.9,65,19,309
WH0000008,FIELD0045,2026-01-08,25.9,-0.4,9.7,85,28.6,544
WH0000009,FIELD0113,2025-10-01,11.5,1.3,14.9,46,3.2,513
WH0000010,FIELD0136,2025-11-22,34.1,28.9,35.2,45,31.8,307
WH0000011,FIELD0148,2025-12-02,22.3,15,32.6,59,23.5,425
WH0000012,FIELD0138,2025-10-08,13.5,-2.6,6.4,45,15.4,272
WH0000013,FIELD0193,2025-02-07,26.8,5.2,41.8,59,20.2,608
WH0000014,FIELD0011,2025-11-24,27.7,11,25.1,78,28.3,215
WH0000015,FIELD0091,2026-01-19,12.7,0.5,17.2,76,1.5,289
WH0000016,FIELD0142,2025-01-30,26.8,2.8,44.6,87,18.6,362
WH0000017,FIELD0090,2025-02-22,24.3,2.1,35.4,67,1.2,417
WH0000018,FIELD0081,2025-03-23,31.1,19.1,31.3,75,19.4,616
WH0000019,FIELD0005,2025-01-06,22.9,4,48.3,44,35.8,76
WH0000020,FIELD0084,2025-05-14,24.4,4.9,48.8,53,4.4,348
WH0000021,FIELD0136,2025-10-11,37.9,-4.1,35.5,74,18.6,184
WH0000022,FIELD0177,2025-04-13,39.3,27.6,16.3,57,34.3,620
WH0000023,FIELD0024,2025-08-17,29,18,22.7,93,2.1,119
WH0000024,FIELD0149,2025-06-28,14.5,5.7,25.8,41,23,422
WH0000025,FIELD0118,2025-05-18,16.1,6.7,10.7,32,1,195
WH0000026,FIELD0193,2025-11-19,19.2,5.2,46.5,74,39.4,388
WH0000027,FIELD0174,2025-12-12,21.3,0.9,0.7,49,39.2,180
WH0000028,FIELD0111,2025-09-12,30.6,13.1,21.7,50,14.9,357
WH0000029,FIELD0072,2026-02-09,31.9,0,18.2,79,37.1,168
WH0000030,FIELD0139,2025-12-20,38.5,16.3,34.7,59,39.7,376
WH0000031,FIELD0089,2026-01-24,27.6,5.4,7.9,61,30.3,704
WH0000032,FIELD0029,2025-07-29,19.3,-4.2,32,92,14.8,343
WH0000033,FIELD0003,2025-05-26,13.7,-1.6,44.5,66,1.4,58
WH0000034,FIELD0095,2025-04-03,36.2,23.4,25.7,89,9.1,493
WH0000035,FIELD0116,2025-05-30,29.6,-4,28.9,48,24.8,686
WH0000036,FIELD0112,2025-07-17,28.3,14.3,26.7,36,7.1,459
WH0000037,FIELD0018,2025-03-07,31.1,9.4,35.4,69,5.8,777
WH0000038,FIELD0052,2025-05-08,21.6,-2.5,7.4,79,24,57
WH0000039,FIELD0041,2025-10-17,33.6,-0.4,2.3,39,31.3,687
WH0000040,FIELD0082,2025-03-20,26.2,2.3,26.5,58,30.4,192
WH0000041,FIELD0021,2025-07-16,40,20.1,26.5,54,0.9,150
WH0000042,FIELD0166,2025-02-20,17.3,2.4,39.3,38,26.3,692
WH0000043,FIELD0008,2025-01-07,40,3.9,17.9,70,37.1,510
WH0000044,FIELD0024,2026-01-04,35.5,8.4,47.2,34,18.8,493
WH0000045,FIELD0155,2025-03-21,27.5,7.7,44.3,48,0.5,690
WH0000046,FIELD0131,2026-02-03,33.8,-0.3,24.4,49,18.7,445
WH0000047,FIELD0130,2025-02-17,35.5,20,31,49,13.8,221
WH0000048,FIELD0043,2025-01-09,18.6,7.3,46.2,38,8.4,318
WH0000049,FIELD0006,2025-03-05,27.3,15.1,9.1,49,0.9,767
WH0000050,FIELD0070,2025-06-13,32.5,21.9,20.2,78,38.4,333
WH0000051,FIELD0155,2025-04-08,22.3,0.2,9.1,61,0.8,148
WH0000052,FIELD0058,2025-01-26,17.4,-2.5,44.1,95,3.6,649
WH0000053,FIELD0019,2025-09-22,18.5,13.4,10.9,67,8.2,541
WH0000054,FIELD0146,2025-09-11,17.5,10.4,27.1,89,23.2,173
WH0000055,FIELD0168,2026-01-20,36.1,-3.2,20.2,48,21.9,545
WH0000056,FIELD0170,2025-11-18,33.7,9.2,10.8,48,35.2,591
WH0000057,FIELD0057,2025-09-21,11.4,5,37.8,61,27.5,744
WH0000058,FIELD0193,2025-11-18,17,0.2,15.9,76,9.5,629
WH0000059,FIELD0127,2025-01-11,18.8,12,39.1,89,24.4,83
WH0000060,FIELD0191,2025-12-25,12.5,0,15.3,95,8.9,553
WH0000061,FIELD0113,2025-01-11,39.3,-4.7,1.4,83,31.6,584
WH0000062,FIELD0013,2026-01-06,14.2,0.6,20.3,41,17.4,765
WH0000063,FIELD0114,2025-06-19,29,5.9,29.4,54,36,418
WH0000064,FIELD0170,2025-08-06,11.9,-3.1,34.4,79,6.4,775
WH0000065,FIELD0136,2025-10-07,15.1,6.9,27.2,33,2.8,570
WH0000066,FIELD0113,2025-11-17,21.1,14.9,40.7,52,0.3,746
WH0000067,FIELD0011,2025-01-13,13.4,-3,39.6,65,7.1,655
WH0000068,FIELD0192,2025-09-04,30.2,14,10.8,40,21,609
WH0000069,FIELD0053,2025-09-17,19,-0.4,32,49,22.1,315
WH0000070,FIELD0198,2025-01-06,22.1,11,33.1,37,18,609
WH0000071,FIELD0110,2025-08-23,17.7,11.9,41.2,33,20,301
WH0000072,FIELD0078,2026-01-31,11.9,4.5,37.8,53,7.2,386
WH0000073,FIELD0004,2025-06-05,15,6.3,25.6,59,28.7,401
WH0000074,FIELD0037,2026-01-31,27.6,18.6,16.3,35,21.7,669
WH0000075,FIELD0042,2026-01-24,34.1,26.7,32.1,34,11.3,206
WH0000076,FIELD0020,2025-08-03,36.2,31,7.6,66,32.4,225
WH0000077,FIELD0165,2025-04-02,30.2,13.5,17.8,53,33.7,163
WH0000078,FIELD0098,2025-02-25,22.4,-4.3,45.1,63,25.1,387
WH0000079,FIELD0019,2025-12-05,10,-0.5,0.1,42,34.1,712
WH0000080,FIELD0123,2025-09-10,11.2,-4.3,25.4,81,11.7,412
WH0000081,FIELD0164,2025-06-28,17,-4.6,24.4,62,27.8,218
WH0000082,FIELD0117,2025-11-07,13,0.1,23.7,76,4.1,674
WH0000083,FIELD0194,2025-11-17,32.4,-4.7,0.8,73,20.5,778
WH0000084,FIELD0058,2025-03-02,28.8,11.5,6.7,54,13.8,525
