service_id,vehicle_id,service_date,service_type,odometer,cost,technician_id,notes
SVC0000001,VEH000255,2025-02-28,brake_service,122542,313.88,TECH23,Ubi carcer abundans decimus auditor crepusculum deputo.
SVC0000002,VEH000909,2025-05-25,brake_service,123162,1772.94,TECH8,Verecundia vaco causa addo unde aqua.
SVC0000003,VEH000291,2026-01-25,brake_service,134395,1821.18,TECH28,Defetiscor ducimus solus suus aequitas cavus.
SVC0000004,VEH000547,2024-11-20,brake_service,120008,619.81,TECH26,Ciminatio amplus cibo adeptio ventus ullam demoror sumo.
SVC0000005,VEH000586,2026-01-30,tire_rotation,92742,1213.59,TECH30,Campana arcesso cras comes cuppedia pauper.
SVC0000006,VEH000966,2025-09-10,recall,60260,597.36,TECH25,Undique desipio statua depulso animus.
SVC0000007,VEH000616,2026-01-11,tire_rotation,112955,1981.19,TECH38,Eos absum vitae tamdiu tenuis debeo spectaculum theca thema.
SVC0000008,VEH000213,2024-02-23,oil_change,105830,1556.29,TECH35,Temperantia tamisium assumenda crux cornu consequatur cohors iusto theologus texo.
SVC0000009,VEH000295,2024-01-04,tire_rotation,50651,382.19,TECH44,Beneficium textor adhaero apostolus sufficio appositus voluptates velociter.
SVC0000010,VEH000136,2025-03-01,engine_diagnostic,31378,1701.54,TECH44,Uter apparatus ara auctus.
SVC0000011,VEH000898,2025-08-27,oil_change,76465,870.88,TECH46,Dens spargo ullus adaugeo pauci itaque.
SVC0000012,VEH000881,2026-01-26,recall,47465,1288.98,TECH40,Denego error vigor video tum adiuvo tabella torrens volva ciminatio.
SVC0000013,VEH000017,2025-06-30,tire_rotation,132577,1294.55,TECH20,Recusandae aegrotatio artificiose summopere beneficium magnam contego fugiat ocer territo.
SVC0000014,VEH000305,2026-01-12,engine_diagnostic,82878,367.85,TECH32,Arguo blandior subnecto demitto venia advenio ventosus utrum iste auditor.
SVC0000015,VEH000470,2024-01-15,oil_change,52334,1733.24,TECH36,Tutamen ulciscor theologus unus.
SVC0000016,VEH000874,2025-03-14,tire_rotation,5716,255,TECH24,Cenaculum vallum in repudiandae maiores consuasor aspicio.
SVC0000017,VEH000194,2025-11-23,brake_service,80404,1731.85,TECH29,Una accendo sto appono cito vitiosus crudelis cunctatio.
SVC0000018,VEH000212,2025-08-31,brake_service,40141,1135.38,TECH2,Totam facere cui.
SVC0000019,VEH000438,2025-08-28,tire_rotation,53004,368.47,TECH36,Conduco voco stipes cura.
SVC0000020,VEH000868,2025-12-15,tire_rotation,115257,200.01,TECH20,Celebrer turbo calco claro tondeo caritas audio.
SVC0000021,VEH000645,2024-05-20,engine_diagnostic,54473,1100.74,TECH35,Doloremque carpo suppono sordeo aegrotatio aer aeternus celebrer.
SVC0000022,VEH000911,2025-05-24,transmission_service,96850,1023.46,TECH27,Numquam benigne cattus tepidus.
