account_id,customer_id,account_type,balance,credit_limit,opened_at,status,risk_score
ACC00000001,CUST0000569,credit,7052.7,34410,2024-08-17,active,78
ACC00000002,CUST0000779,credit,65230.03,14167,2024-12-02,active,38
ACC00000003,CUST0000503,checking,30774.24,0,2025-05-03,active,72
ACC00000004,CUST0000343,checking,3198.67,0,2021-02-19,suspended,78
ACC00000005,CUST0000949,savings,50651.2,0,2024-02-19,suspended,46
ACC00000006,CUST0000011,checking,57693.67,0,2020-10-22,closed,16
ACC00000007,CUST0001035,checking,68737.23,0,2023-07-07,closed,22
ACC00000008,CUST0000816,savings,21220.06,0,2021-12-04,active,57
ACC00000009,CUST0001148,checking,53240.92,0,2024-08-21,active,76
ACC00000010,CUST0000088,credit,30370.77,46320,2021-08-11,active,53
ACC00000011,CUST0001451,checking,39977.41,0,2023-03-08,suspended,10
ACC00000012,CUST0000287,savings,71291.58,0,2023-07-03,active,2
ACC00000013,CUST0000294,credit,55002.24,17753,2020-07-24,active,66
ACC00000014,CUST0001150,credit,22835.17,37826,2025-02-23,closed,24
ACC00000015,CUST0000645,credit,97357.93,23204,2020-02-02,active,11
ACC00000016,CUST0001496,checking,72771.99,0,2022-02-04,active,84
ACC00000017,CUST0001208,savings,3840.6,0,2021-06-16,active,39
ACC00000018,CUST0000635,checking,7914.12,0,2020-11-01,closed,67
ACC00000019,CUST0001347,checking,46163.8,0,2022-07-02,closed,20
ACC00000020,CUST0000203,savings,45577.29,0,2021-08-02,active,64
ACC00000021,CUST0000017,credit,55728.69,31359,2021-02-22,active,2
ACC00000022,CUST0000789,credit,-3125.53,21814,2025-06-27,active,53
ACC00000023,CUST0000275,savings,28825.33,0,2025-10-18,active,27
ACC00000024,CUST0000824,savings,56024.34,0,2021-01-28,active,15
ACC00000025,CUST0000838,checking,27230.78,0,2024-05-08,active,85
ACC00000026,CUST0000559,checking,74812.95,0,2022-04-17,suspended,53
ACC00000027,CUST0000300,credit,97416.2,10202,2024-01-28,suspended,38
ACC00000028,CUST0001064,credit,8532.21,19018,2020-08-14,active,87
ACC00000029,CUST0000135,credit,26955.72,45544,2025-10-02,active,31
ACC00000030,CUST0001102,credit,91693.54,37900,2023-05-18,closed,38
ACC00000031,CUST0000152,credit,95117.12,45703,2024-11-05,active,21
ACC00000032,CUST0000894,checking,84139.43,0,2024-01-22,suspended,39
ACC00000033,CUST0000647,savings,62956.76,0,2024-01-15,suspended,69
ACC00000034,CUST0000221,credit,27048.71,23404,2022-12-03,active,51
ACC00000035,CUST0000487,checking,87622.62,0,2020-08-04,active,23
ACC00000036,CUST0001193,credit,61851.04,5199,2021-04-21,active,43
ACC00000037,CUST0000717,checking,26590.07,0,2020-01-03,active,98
ACC00000038,CUST0000152,credit,62193.15,3359,2022-10-06,suspended,20
ACC00000039,CUST0000153,checking,45699.62,0,2021-10-02,active,33
ACC00000040,CUST0000241,checking,21064.78,0,2021-10-30,active,78
ACC00000041,CUST0001024,checking,10187.3,0,2023-03-05,closed,72
ACC00000042,CUST0001057,credit,33228.28,9141,2023-08-01,active,50
ACC00000043,CUST0000059,credit,28663.2,23670,2023-05-09,closed,100
ACC00000044,CUST0000382,savings,32051.2,0,2025-08-04,active,83
ACC00000045,CUST0000457,checking,2826.28,0,2024-02-14,suspended,50
ACC00000046,CUST0001059,savings,1257.21,0,2020-11-27,active,88
ACC00000047,CUST0000006,checking,45305.05,0,2025-09-29,active,59
ACC00000048,CUST0000243,savings,64796.94,0,2021-06-27,active,95
ACC00000049,CUST0001027,savings,12217.62,0,2020-05-02,active,70
ACC00000050,CUST0000330,credit,34588.19,28386,2020-06-25,closed,57
ACC00000051,CUST0000590,savings,82230.14,0,2020-03-19,active,82
ACC00000052,CUST0000886,checking,33348.45,0,2022-12-10,active,14
ACC00000053,CUST0000947,checking,58026.01,0,2024-01-26,active,20
ACC00000054,CUST0000957,credit,42348.58,16255,2024-11-17,active,70
ACC00000055,CUST0001265,credit,90808.97,21824,2023-10-01,active,58
ACC00000056,CUST0000916,checking,99622.71,0,2022-01-14,active,6
ACC00000057,CUST0000314,credit,88471.43,42124,2021-11-25,active,6
ACC00000058,CUST0000070,credit,56720.31,33239,2020-11-23,closed,69
ACC00000059,CUST0000129,savings,41263.45,0,2024-11-23,suspended,11
ACC00000060,CUST0000908,credit,99495.33,3361,2025-11-18,active,83
ACC00000061,CUST0001271,credit,50778.26,9239,2023-05-02,active,3
ACC00000062,CUST0000177,credit,-4094.33,9777,2025-01-30,active,81
ACC00000063,CUST0000410,savings,61659.11,0,2024-02-03,active,81
ACC00000064,CUST0001446,savings,58678.91,0,2022-05-05,active,94
ACC00000065,CUST0000916,savings,1295.42,0,2025-05-15,suspended,92
ACC00000066,CUST0000068,savings,30177.2,0,2023-08-26,active,57
ACC00000067,CUST0001324,credit,38548.78,22785,2021-12-28,active,58
ACC00000068,CUST0000616,savings,91380.63,0,2020-06-24,suspended,26
ACC00000069,CUST0000868,credit,-2586.13,42771,2020-10-12,active,26
ACC00000070,CUST0001361,savings,47301.15,0,2024-01-17,closed,30
ACC00000071,CUST0000240,checking,68770.52,0,2021-09-12,active,59
ACC00000072,CUST0001466,checking,11353.92,0,2023-12-05,active,62
ACC00000073,CUST0001309,credit,89569.5,7104,2025-04-17,suspended,82
ACC00000074,CUST0001342,checking,24983.1,0,2024-10-30,active,53
ACC00000075,CUST0000909,checking,15182.99,0,2021-11-16,active,94
ACC00000076,CUST0000849,credit,84267.73,6702,2024-02-23,active,52
ACC00000077,CUST0001059,credit,68096.79,32366,2023-03-19,active,39
ACC00000078,CUST0000945,checking,88615.26,0,2023-09-10,active,62
ACC00000079,CUST0000102,credit,30931.06,39456,2023-01-28,active,95
ACC00000080,CUST0000995,checking,32611.37,0,2021-10-10,closed,57
ACC00000081,CUST0001238,credit,75813.72,41137,2021-12-23,suspended,65
ACC00000082,CUST0000716,credit,14725.25,37723,2024-04-08,active,36
ACC00000083,CUST0000304,credit,49751.49,1740,2025-02-22,suspended,91
ACC00000084,CUST0000113,checking,94156.66,0,2025-04-17,active,1
ACC00000085,CUST0000837,savings,43309.93,0,2025-09-18,active,63
ACC00000086,CUST0001400,savings,53059.64,0,2024-02-27,suspended,20
ACC00000087,CUST0000577,credit,31774.54,4119,2024-05-07,suspended,50
ACC00000088,CUST0001453,credit,-433.59,25043,2021-12-20,active,86
ACC00000089,CUST0000498,checking,65706.38,0,2023-11-17,active,2
ACC00000090,CUST0001066,credit,26898.64,20018,2020-02-01,active,10
ACC00000091,CUST0000704,credit,25776.79,22429,2023-08-01,active,30
ACC00000092,CUST0001389,checking,73432.67,0,2023-05-18,suspended,75
ACC00000093,CUST0000567,credit,91958.61,34343,2024-11-29,active,12
ACC00000094,CUST0001422,credit,27703.35,5892,2025-04-23,active,51
ACC00000095,CUST0000238,credit,87579.66,31263,2020-04-26,suspended,16
ACC00000096,CUST0001379,credit,92808.14,20300,2025-08-06,closed,41
ACC00000097,CUST0000714,credit,88383.79,28741,2024-03-27,closed,77
ACC00000098,CUST0001181,savings,32595.65,0,2022-08-03,closed,68
ACC00000099,CUST0000171,savings,67296,0,2022-12-11,suspended,59
ACC00000100,CUST0000984,savings,92256.98,0,2023-01-21,active,79
ACC00000101,CUST0000317,savings,46462.27,0,2021-11-09,active,30
ACC00000102,CUST0000027,credit,25020.99,32382,2020-02-27,closed,7
ACC00000103,CUST0000223,checking,23961.36,0,2023-06-24,active,62
ACC00000104,CUST0000459,checking,51310.9,0,2020-02-02,closed,28
ACC00000105,CUST0001484,credit,6649.63,5449,2023-10-12,active,9
ACC00000106,CUST0001166,credit,66432.07,27283,2025-04-08,suspended,80
ACC00000107,CUST0000371,savings,99456.71,0,2020-12-22,suspended,2
ACC00000108,CUST0001262,credit,1170.19,47265,2024-09-16,active,91
ACC00000109,CUST0000411,checking,23176.78,0,2025-03-27,suspended,3
ACC00000110,CUST0001147,checking,40264.7,0,2024-03-06,active,96
ACC00000111,CUST0000720,checking,14973.45,0,2025-03-11,closed,69
ACC00000112,CUST0000071,savings,-4541.11,0,2023-12-04,active,4
ACC00000113,CUST0001366,credit,34325.13,32980,2022-09-22,closed,78
ACC00000114,CUST0001382,savings,22755.03,0,2020-11-01,active,40
ACC00000115,CUST0000858,checking,28056.53,0,2024-07-25,active,47
ACC00000116,CUST0000998,checking,30157.61,0,2023-07-13,active,66
ACC00000117,CUST0000043,checking,84932.01,0,2022-03-26,active,22
ACC00000118,CUST0000645,savings,52317.58,0,2022-07-18,active,92
ACC00000119,CUST0000573,savings,70633.07,0,2025-10-01,active,100
ACC00000120,CUST0000478,savings,15692.94,0,2025-09-02,suspended,55
ACC00000121,CUST0001018,checking,33974.58,0,2024-02-08,suspended,62
ACC00000122,CUST0001006,credit,61116.71,31170,2020-04-14,active,75
ACC00000123,CUST0000055,credit,11221.68,31138,2025-08-05,suspended,63
ACC00000124,CUST0000971,savings,98720.2,0,2025-07-31,closed,18
ACC00000125,CUST0000109,credit,53391.8,41128,2021-02-26,active,65
ACC00000126,CUST0001196,checking,64234.59,0,2023-07-09,active,100
ACC00000127,CUST0000761,credit,97081.44,23673,2021-07-26,active,50
ACC00000128,CUST0000967,checking,64471.49,0,2024-01-16,suspended,12
ACC00000129,CUST0000763,credit,26009.84,21432,2023-04-28,suspended,88
ACC00000130,CUST0000759,savings,76563.27,0,2022-03-14,closed,12
ACC00000131,CUST0000079,credit,44514.44,44210,2023-11-12,active,42
ACC00000132,CUST0000946,credit,95989.64,14273,2024-08-20,active,30
ACC00000133,CUST0000768,savings,20948.4,0,2020-04-12,suspended,76
ACC00000134,CUST0000250,savings,87532.73,0,2021-10-23,active,58
ACC00000135,CUST0001364,checking,-3900.49,0,2022-03-09,suspended,77
ACC00000136,CUST0000488,savings,9823.63,0,2021-05-09,closed,82
ACC00000137,CUST0000099,checking,93708.81,0,2022-07-08,active,84
ACC00000138,CUST0001052,credit,76094.02,16799,2022-01-22,active,43
ACC00000139,CUST0001090,credit,55243.65,34886,2021-01-16,active,40
ACC00000140,CUST0000091,checking,71140.95,0,2021-04-10,closed,46
ACC00000141,CUST0000983,credit,36900.04,23908,2025-06-19,active,37
ACC00000142,CUST0000420,credit,52143.6,4541,2020-09-26,active,98
ACC00000143,CUST0000229,credit,-115.8,42130,2020-10-07,active,15
ACC00000144,CUST0001353,credit,91640.82,48427,2025-10-11,closed,86
ACC00000145,CUST0000181,checking,64638.92,0,2024-05-20,suspended,62
ACC00000146,CUST0001334,savings,59562.85,0,2021-08-31,active,39
ACC00000147,CUST0000868,checking,5878.84,0,2022-02-13,active,90
ACC00000148,CUST0000403,checking,74312.17,0,2020-06-08,active,87
ACC00000149,CUST0000869,savings,-1073.6,0,2025-03-02,suspended,8
ACC00000150,CUST0000106,checking,44692.4,0,2021-06-12,active,49
ACC00000151,CUST0000536,savings,-3325.75,0,2024-02-07,active,22
ACC00000152,CUST0001175,credit,14785.93,21091,2023-02-05,suspended,75
ACC00000153,CUST0001170,checking,7487.52,0,2025-01-02,closed,63
ACC00000154,CUST0000606,savings,84061.81,0,2021-07-24,active,66
ACC00000155,CUST0000674,checking,10096.21,0,2020-08-30,active,34
ACC00000156,CUST0001460,checking,29873.45,0,2022-07-21,active,80
ACC00000157,CUST0000772,checking,92416.65,0,2021-01-24,closed,81
ACC00000158,CUST0000486,savings,60135.76,0,2023-07-22,active,10
ACC00000159,CUST0000860,savings,65848.78,0,2025-06-04,active,1
ACC00000160,CUST0001326,checking,10987.81,0,2023-01-10,active,4
ACC00000161,CUST0000332,credit,51028.84,39809,2020-03-10,suspended,83
ACC00000162,CUST0001154,savings,24682.64,0,2021-11-08,active,57
ACC00000163,CUST0001109,savings,24647.91,0,2023-10-26,active,78
ACC00000164,CUST0000616,credit,23961.6,46945,2020-09-13,suspended,99
ACC00000165,CUST0001380,checking,74037.82,0,2023-01-30,active,24
ACC00000166,CUST0001134,credit,72709.76,47901,2022-02-04,suspended,81
ACC00000167,CUST0001087,checking,96371.18,0,2025-05-29,closed,72
ACC00000168,CUST0000564,savings,52231.37,0,2023-03-19,active,30
ACC00000169,CUST0001495,savings,35689.25,0,2025-11-26,active,60
ACC00000170,CUST0000707,savings,78284.49,0,2023-04-01,active,63
ACC00000171,CUST0001411,checking,16262.33,0,2021-09-25,active,14
ACC00000172,CUST0000004,checking,3266.22,0,2021-10-31,active,90
ACC00000173,CUST0000744,credit,29216.5,8574,2023-02-12,active,81
ACC00000174,CUST0000546,credit,96491.26,8168,2022-12-22,active,34
ACC00000175,CUST0000450,credit,70735.76,36060,2021-07-16,active,66
ACC00000176,CUST0000382,credit,54881.53,47424,2022-04-03,suspended,34
ACC00000177,CUST0000833,checking,-737.2,0,2023-10-12,suspended,47
ACC00000178,CUST0000242,checking,1619.91,0,2024-01-29,active,35
ACC00000179,CUST0000889,credit,5178.06,22525,2022-02-06,active,69
ACC00000180,CUST0000639,savings,99930.74,0,2020-06-16,active,49
ACC00000181,CUST0000251,checking,-3681.64,0,2023-01-29,closed,6
ACC00000182,CUST0001299,savings,58635.99,0,2025-08-10,active,28
ACC00000183,CUST0001255,checking,27471.02,0,2024-10-23,suspended,93
ACC00000184,CUST0000389,checking,64598.12,0,2021-10-28,active,78
ACC00000185,CUST0000166,checking,49161.86,0,2022-02-13,active,42
ACC00000186,CUST0000415,savings,7113.6,0,2025-03-05,active,10
ACC00000187,CUST0000202,savings,60095.46,0,2020-08-03,active,44
ACC00000188,CUST0001112,checking,58828.44,0,2024-07-23,closed,54
ACC00000189,CUST0000288,checking,41688.48,0,2021-05-23,suspended,25
ACC00000190,CUST0000139,credit,1160.87,20269,2024-01-11,active,5
ACC00000191,CUST0001062,credit,62581.73,40108,2023-07-19,active,45
ACC00000192,CUST0000260,savings,66576.25,0,2020-08-18,suspended,77
ACC00000193,CUST0000951,checking,78001.93,0,2025-07-18,suspended,4
ACC00000194,CUST0000833,savings,22643.21,0,2024-09-13,active,43
ACC00000195,CUST0000039,savings,8427.48,0,2021-07-16,active,32
ACC00000196,CUST0000880,checking,37440.98,0,2025-11-24,active,28
ACC00000197,CUST0001151,credit,37058.72,14676,2020-12-03,active,23
ACC00000198,CUST0000374,savings,53683.6,0,2024-06-09,closed,14
ACC00000199,CUST0000960,checking,63281.53,0,2022-12-13,active,83
ACC00000200,CUST0001192,savings,64189.29,0,2024-01-16,active,89
ACC00000201,CUST0000746,savings,79554.87,0,2025-04-07,suspended,72
ACC00000202,CUST0000317,savings,65666.54,0,2020-05-03,closed,67
ACC00000203,CUST0000865,savings,73365.01,0,2022-03-12,active,80
ACC00000204,CUST0001260,savings,51677.65,0,2023-09-22,active,28
ACC00000205,CUST0001210,checking,83374.79,0,2021-03-02,active,10
ACC00000206,CUST0001159,credit,48629.7,11837,2022-02-24,active,16
