inspection_id,batch_id,inspector_id,inspection_time,sample_size,defects_found,defect_type,passed
INS0000001,BATCH000860,QC17,2025-08-26T15:54:38.061Z,28,1,material_crack,Y
INS0000002,BATCH001984,QC18,2025-06-03T21:49:03.361Z,31,4,coating_defect,N
INS0000003,BATCH001196,QC5,2026-02-14T11:08:27.913Z,49,3,dimensional_error,N
INS0000004,BATCH001660,QC3,2025-09-02T22:33:54.236Z,21,4,material_crack,N
INS0000005,BATCH001718,QC1,2025-12-25T21:13:03.828Z,21,3,dimensional_error,N
INS0000006,BATCH001648,QC18,2025-06-05T11:20:40.677Z,22,0,none,Y
INS0000007,BATCH000439,QC13,2026-01-29T02:14:52.921Z,30,4,coating_defect,N
INS0000008,BATCH000680,QC12,2025-09-30T22:54:22.425Z,45,5,coating_defect,N
INS0000009,BATCH000332,QC1,2025-08-26T04:10:51.350Z,12,2,material_crack,Y
INS0000010,BATCH001365,QC18,2026-02-08T11:39:05.525Z,33,0,none,Y
INS0000011,BATCH000848,QC10,2025-07-13T02:10:31.351Z,50,0,none,Y
INS0000012,BATCH000389,QC20,2025-12-14T08:38:14.517Z,49,5,dimensional_error,N
INS0000013,BATCH001472,QC10,2025-08-08T16:36:27.189Z,49,1,surface_scratch,Y
INS0000014,BATCH001415,QC18,2025-06-22T23:38:09.468Z,10,0,none,Y
INS0000015,BATCH001896,QC4,2026-01-27T16:22:45.671Z,24,4,material_crack,N
INS0000016,BATCH000449,QC12,2025-10-16T20:55:41.739Z,42,4,material_crack,N
INS0000017,BATCH000309,QC14,2025-10-10T02:57:37.719Z,23,5,material_crack,N
INS0000018,BATCH001733,QC20,2025-06-12T18:51:20.424Z,27,2,surface_scratch,Y
INS0000019,BATCH001322,QC5,2025-07-02T22:40:20.356Z,28,3,material_crack,N
INS0000020,BATCH000471,QC20,2026-01-30T10:05:46.349Z,24,4,dimensional_error,N
INS0000021,BATCH001805,QC11,2025-10-14T03:39:32.571Z,23,1,dimensional_error,Y
INS0000022,BATCH001189,QC1,2026-01-14T11:22:25.045Z,10,5,material_crack,N
INS0000023,BATCH000525,QC13,2025-08-29T03:15:14.519Z,50,5,material_crack,N
INS0000024,BATCH001465,QC17,2025-11-02T02:01:44.348Z,39,3,coating_defect,N
INS0000025,BATCH001477,QC11,2026-01-12T00:53:27.399Z,26,4,surface_scratch,N
INS0000026,BATCH001373,QC20,2025-08-15T14:12:56.802Z,13,3,weld_defect,N
INS0000027,BATCH001280,QC11,2025-11-28T04:18:12.280Z,44,5,material_crack,N
INS0000028,BATCH001408,QC20,2025-08-18T23:59:31.540Z,38,1,surface_scratch,Y
INS0000029,BATCH000077,QC10,2025-06-20T10:25:58.524Z,44,2,coating_defect,Y
INS0000030,BATCH000280,QC15,2025-06-29T23:25:54.650Z,49,0,none,Y
INS0000031,BATCH001484,QC10,2025-10-01T10:03:03.093Z,46,4,material_crack,N
INS0000032,BATCH001631,QC16,2025-08-31T18:12:16.672Z,27,2,weld_defect,Y
INS0000033,BATCH000926,QC1,2025-12-24T17:27:01.531Z,40,0,none,Y
INS0000034,BATCH001956,QC19,2026-01-11T08:25:46.738Z,49,4,weld_defect,N
INS0000035,BATCH000866,QC4,2025-12-11T02:36:41.337Z,32,4,coating_defect,N
INS0000036,BATCH000857,QC7,2026-01-09T04:31:55.929Z,12,3,coating_defect,N
INS0000037,BATCH000302,QC13,2025-08-02T17:43:46.992Z,17,1,dimensional_error,Y
INS0000038,BATCH001995,QC8,2025-08-12T12:35:34.527Z,31,3,dimensional_error,N
INS0000039,BATCH000475,QC16,2025-07-25T15:22:17.399Z,50,2,material_crack,Y
INS0000040,BATCH000668,QC4,2025-07-23T09:45:32.445Z,43,5,weld_defect,N
INS0000041,BATCH000273,QC2,2025-10-03T17:45:29.347Z,47,4,dimensional_error,N
INS0000042,BATCH001290,QC19,2025-10-11T22:15:50.382Z,23,0,none,Y
INS0000043,BATCH001387,QC7,2025-08-29T08:40:53.185Z,15,3,surface_scratch,N
INS0000044,BATCH001174,QC12,2025-10-02T10:46:55.281Z,32,0,none,Y
INS0000045,BATCH001373,QC9,2025-10-03T19:07:54.720Z,27,3,dimensional_error,N
INS0000046,BATCH001970,QC5,2025-07-01T12:29:51.205Z,50,1,surface_scratch,Y
INS0000047,BATCH001426,QC2,2025-10-11T09:45:15.948Z,20,2,weld_defect,Y
INS0000048,BATCH000147,QC9,2025-11-20T12:41:26.097Z,49,3,material_crack,N
INS0000049,BATCH001691,QC8,2025-07-12T17:07:59.705Z,14,3,dimensional_error,N
INS0000050,BATCH000294,QC19,2025-07-13T12:44:55.969Z,42,4,weld_defect,N
INS0000051,BATCH000600,QC15,2025-10-01T18:47:38.356Z,39,2,dimensional_error,Y
INS0000052,BATCH001294,QC19,2025-10-07T17:17:17.778Z,28,1,weld_defect,Y
INS0000053,BATCH001961,QC12,2025-09-15T09:13:26.398Z,23,1,surface_scratch,Y
INS0000054,BATCH001610,QC3,2026-02-14T03:46:24.467Z,25,0,none,Y
INS0000055,BATCH001125,QC15,2025-09-01T20:27:10.517Z,46,1,coating_defect,Y
INS0000056,BATCH001064,QC4,2025-07-31T18:53:32.849Z,21,3,weld_defect,N
INS0000057,BATCH000716,QC8,2025-09-05T22:00:44.849Z,41,4,coating_defect,N
INS0000058,BATCH001038,QC17,2025-11-23T17:04:49.732Z,11,0,none,Y
INS0000059,BATCH001544,QC10,2025-10-18T00:48:33.640Z,38,3,coating_defect,N
INS0000060,BATCH000231,QC1,2026-01-29T04:19:15.971Z,15,0,none,Y
INS0000061,BATCH001732,QC7,2025-06-07T09:52:06.504Z,45,1,dimensional_error,Y
INS0000062,BATCH000457,QC2,2025-08-07T05:47:55.875Z,41,2,dimensional_error,Y
INS0000063,BATCH001178,QC8,2025-07-17T05:08:35.428Z,45,4,surface_scratch,N
INS0000064,BATCH001182,QC2,2026-02-10T10:42:42.602Z,32,0,none,Y
