transaction_id,sku,store_id,quantity,unit_price,total_amount,transaction_date,customer_id,payment_method
TX00000001,SKU00176,STORE002,6,484.25,2905.50,2026-01-18T16:58:22.128Z,CUST000149,debit
TX00000002,SKU00161,STORE003,10,281.79,2817.90,2025-07-16T15:52:10.259Z,CUST000702,debit
TX00000003,SKU00014,STORE002,5,362.75,1813.75,2026-02-05T22:19:37.259Z,CUST000017,credit
TX00000004,SKU00133,STORE003,1,403.25,403.25,2025-07-31T16:45:04.193Z,CUST000133,mobile
TX00000005,SKU00117,STORE004,8,402.49,3219.92,2025-12-19T09:27:42.874Z,CUST001343,cash
TX00000006,SKU00149,STORE001,2,445.77,891.54,2025-10-23T09:18:51.828Z,CUST001518,cash
TX00000007,SKU00131,STORE005,6,318.09,1908.54,2025-12-14T12:26:07.324Z,CUST001433,debit
TX00000008,SKU00041,STORE002,3,111.34,334.02,2025-12-13T15:46:47.503Z,CUST001015,credit
TX00000009,SKU00016,STORE004,4,411.85,1647.40,2025-08-25T23:35:40.346Z,CUST000544,cash
TX00000010,SKU00053,STORE005,7,165.69,1159.83,2025-07-03T16:44:54.505Z,CUST001390,credit
TX00000011,SKU00120,STORE002,7,408.45,2859.15,2025-11-28T11:03:43.681Z,CUST000376,credit
TX00000012,SKU00140,STORE002,5,20.49,102.45,2025-09-02T03:56:26.899Z,CUST001759,credit
TX00000013,SKU00112,STORE001,7,164.90,1154.30,2026-01-30T00:29:58.735Z,CUST000651,mobile
TX00000014,SKU00200,STORE005,9,128.29,1154.61,2025-10-05T16:17:44.608Z,CUST000190,mobile
TX00000015,SKU00066,STORE004,9,429.79,3868.11,2025-11-05T04:23:14.353Z,CUST000081,debit
TX00000016,SKU00027,STORE001,4,392.99,1571.96,2026-02-03T19:11:48.498Z,CUST001309,credit
TX00000017,SKU00003,STORE004,7,382.30,2676.10,2025-09-29T16:40:46.349Z,CUST001240,cash
TX00000018,SKU00125,STORE005,6,292.55,1755.30,2025-10-10T03:06:55.564Z,CUST000885,cash
TX00000019,SKU00078,STORE002,6,464.49,2786.94,2025-10-29T23:19:47.835Z,CUST001056,credit
TX00000020,SKU00200,STORE005,7,403.15,2822.05,2025-06-27T07:13:51.701Z,CUST000107,debit
TX00000021,SKU00135,STORE004,4,471.15,1884.60,2025-06-30T06:44:28.852Z,CUST001382,cash
TX00000022,SKU00130,STORE002,2,319.79,639.58,2025-08-19T18:36:52.997Z,CUST001411,debit
TX00000023,SKU00134,STORE005,2,14.45,28.90,2025-09-11T01:46:19.689Z,CUST001400,mobile
TX00000024,SKU00161,STORE005,6,246.89,1481.34,2025-06-10T12:41:33.911Z,CUST001146,debit
TX00000025,SKU00185,STORE003,6,180.69,1084.14,2025-08-23T18:31:41.311Z,CUST000847,credit
TX00000026,SKU00122,STORE005,9,331.20,2980.80,2025-09-12T07:11:48.197Z,CUST001773,credit
TX00000027,SKU00148,STORE002,9,498.60,4487.40,2025-07-28T10:43:35.150Z,CUST001246,mobile
TX00000028,SKU00094,STORE005,1,170.90,170.90,2025-10-11T09:48:49.237Z,CUST001634,mobile
TX00000029,SKU00188,STORE001,4,40.19,160.76,2026-01-07T20:27:48.516Z,CUST000939,debit
TX00000030,SKU00021,STORE001,2,486.67,973.34,2025-11-09T00:12:34.059Z,CUST000880,debit
TX00000031,SKU00160,STORE002,3,120.09,360.27,2026-01-22T05:27:57.491Z,CUST000711,cash
TX00000032,SKU00013,STORE002,9,77.70,699.30,2025-12-24T03:33:17.825Z,CUST000310,credit
TX00000033,SKU00097,STORE002,6,402.85,2417.10,2025-12-03T09:57:13.365Z,CUST001012,credit
TX00000034,SKU00125,STORE002,5,45.79,228.95,2025-07-20T23:01:42.514Z,CUST001645,credit
TX00000035,SKU00084,STORE003,8,289.25,2314.00,2025-10-11T12:39:09.305Z,CUST001725,debit
TX00000036,SKU00108,STORE005,10,445.39,4453.90,2025-08-29T08:40:45.967Z,CUST000979,cash
TX00000037,SKU00099,STORE003,9,183.89,1655.01,2026-01-22T05:16:19.960Z,CUST000657,debit
