complaint_id,customer_id,tower_id,complaint_type,priority,status,created_at,description
COMP0000001,CUST00044847,TOWER00355,poor_voice_quality,critical,open,2026-01-21T05:14:59.227Z,Vitiosus iure benevolentia voluntarius una approbo stipes.
COMP0000002,CUST00007333,TOWER00396,billing_issue,critical,resolved,2025-10-09T23:31:28.850Z,Adipisci callide curia administratio.
COMP0000003,CUST00030840,TOWER00023,slow_data,medium,investigating,2025-12-03T04:32:46.351Z,Commodi vallum suggero stella supra caelum.
COMP0000004,CUST00041239,TOWER00145,no_signal,medium,open,2025-11-13T18:56:44.060Z,Aut dicta solium coruscus sequi dolorum adstringo colligo addo.
COMP0000005,CUST00029308,TOWER00279,slow_data,medium,resolved,2026-01-25T16:33:18.812Z,Quo amet odio vindico.
COMP0000006,CUST00048383,TOWER00358,service_outage,critical,investigating,2026-01-08T23:24:16.123Z,Curia cariosus verus usus crastinus clam subito suppellex cognomen.
COMP0000007,CUST00008284,TOWER00046,no_signal,medium,resolved,2025-10-27T05:24:35.008Z,Casso altus desino caritas.
COMP0000008,CUST00002049,TOWER00215,billing_issue,medium,closed,2025-10-17T08:34:53.865Z,Baiulus absorbeo depromo cornu peccatus arbor voluptatem aptus.
COMP0000009,CUST00030562,TOWER00212,poor_voice_quality,low,investigating,2025-11-11T08:29:24.976Z,Dolorem urbs surgo coma abduco.
COMP0000010,CUST00030553,TOWER00374,dropped_call,high,open,2026-02-07T12:20:13.504Z,Eaque desipio amicitia cohaero surculus utrum audio consectetur venia advoco.
COMP0000011,CUST00025484,TOWER00371,dropped_call,medium,investigating,2026-01-30T21:15:30.880Z,Odit sufficio cunae undique combibo.
COMP0000012,CUST00040991,TOWER00104,slow_data,medium,closed,2025-11-12T04:30:38.264Z,Contigo amaritudo depulso pectus nulla ulterius tracto arbor.
COMP0000013,CUST00023267,TOWER00036,poor_voice_quality,critical,closed,2025-11-14T08:34:19.136Z,Abeo timidus umquam solvo tolero depopulo.
COMP0000014,CUST00042679,TOWER00131,service_outage,critical,resolved,2025-10-25T00:47:47.299Z,Atrox articulus dolore blandior tego spiritus.
COMP0000015,CUST00031191,TOWER00197,no_signal,low,closed,2025-11-06T01:55:03.576Z,Pauci suggero blanditiis aut cupressus accusator tam.
