record_id,tower_id,timestamp,temperature_c,humidity_percent,wind_speed_kmh,precipitation_mm,condition
WX000001,TOWER00056,2025-10-21T16:44:18.555Z,1.4,70,5.4,19.4,clear
WX000002,TOWER00284,2026-01-18T19:31:08.745Z,15.8,76,5.9,21.2,rain
WX000003,TOWER00077,2025-12-16T13:25:56.946Z,38.3,91,58.1,24.8,snow
WX000004,TOWER00317,2025-12-12T22:29:55.049Z,11.1,34,21.6,42.6,clear
WX000005,TOWER00250,2026-01-12T20:54:39.995Z,-2.4,34,49.6,48.2,rain
WX000006,TOWER00390,2025-11-01T08:59:07.434Z,-2.6,20,29.6,42.9,clear
WX000007,TOWER00462,2025-12-14T10:38:11.159Z,-0.1,64,32.4,45.4,snow
WX000008,TOWER00154,2026-01-12T05:11:17.822Z,9.9,40,45.1,5.2,clear
WX000009,TOWER00365,2026-01-08T09:16:22.957Z,32,67,17.7,25,storm
WX000010,TOWER00188,2025-11-26T15:44:05.462Z,29.7,49,54.7,45,rain
WX000011,TOWER00035,2025-12-21T02:29:33.387Z,9.7,37,41.2,20,cloudy
WX000012,TOWER00281,2026-02-10T03:26:17.238Z,25.6,76,14.9,11.6,rain
WX000013,TOWER00171,2025-10-31T02:23:07.533Z,14,38,22,24.5,rain
WX000014,TOWER00371,2026-01-27T18:21:23.539Z,10.3,35,43.1,1,clear
WX000015,TOWER00179,2025-10-15T23:10:54.084Z,34.4,41,22.5,3.9,fog
WX000016,TOWER00261,2025-10-31T21:15:23.766Z,29.7,96,28.4,29.7,rain
WX000017,TOWER00182,2025-11-13T09:32:58.545Z,39,21,34.1,7.2,rain
WX000018,TOWER00423,2025-11-24T03:04:31.749Z,1.2,23,41.8,17.4,snow
WX000019,TOWER00276,2025-11-22T02:40:22.186Z,-8.8,69,12.6,27.8,snow
WX000020,TOWER00160,2025-12-30T15:54:23.914Z,4.3,98,43.9,0.5,cloudy
WX000021,TOWER00417,2025-12-04T21:39:20.747Z,-7.3,48,19,23.7,rain
WX000022,TOWER00071,2026-01-01T20:43:41.862Z,17.2,96,36,9.5,fog
WX000023,TOWER00421,2026-02-13T22:19:26.156Z,-8.3,23,6.2,45.8,storm
WX000024,TOWER00288,2026-01-08T07:59:27.346Z,8.3,46,19.7,42.6,rain
WX000025,TOWER00003,2025-12-29T10:05:19.484Z,3.9,87,28.6,49.3,snow
WX000026,TOWER00219,2025-10-17T02:07:31.534Z,27.8,85,14.7,31.7,cloudy
WX000027,TOWER00011,2026-01-09T18:37:42.560Z,3.5,62,30.9,32.6,storm
WX000028,TOWER00390,2025-12-17T03:18:52.058Z,-2.4,24,10.3,4.5,storm
WX000029,TOWER00383,2025-11-16T20:20:07.839Z,0.2,84,39.7,32.2,rain
WX000030,TOWER00432,2025-11-27T23:14:52.440Z,29.9,31,58.3,1.5,storm
WX000031,TOWER00426,2025-11-24T02:57:27.470Z,11.6,94,24.8,47.6,clear
WX000032,TOWER00466,2025-10-27T17:46:21.002Z,1.1,62,53.4,33.9,snow
WX000033,TOWER00350,2025-10-08T11:11:26.144Z,32.2,72,39.5,3.2,clear
WX000034,TOWER00204,2025-10-19T17:56:22.992Z,13.9,94,14.8,33.3,clear
WX000035,TOWER00443,2026-01-18T03:58:13.895Z,1.9,35,44.9,26.9,rain
WX000036,TOWER00106,2025-12-05T22:53:42.747Z,-9.2,28,32.8,0.9,rain
WX000037,TOWER00257,2026-02-14T13:24:36.515Z,26.4,55,53.7,36.7,rain
WX000038,TOWER00346,2025-10-15T02:30:37.257Z,4.5,38,31.3,19.6,clear
WX000039,TOWER00020,2025-12-29T07:50:33.265Z,28.6,57,10.4,33.9,cloudy
WX000040,TOWER00319,2025-11-19T19:16:07.299Z,39.1,73,20.1,21.3,snow
WX000041,TOWER00322,2025-11-10T15:57:25.627Z,2.5,85,6.7,24.9,storm
WX000042,TOWER00311,2025-11-23T02:44:05.714Z,18.4,59,17.5,23.6,rain
